Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
AK_n6558_C2000000(Pool),AK,0.015,0.021,0.018,0.005,6558,9835,1.4997,0.34473,13.4842,0
AK_n6558_C350000(Pool),AK,0.015,0.021,0.017,0.004,6558,9835,1.4997,0.097007,13.4842,1.00E-06
AK_n6558_C4000000(Pool),AK,0.015,0.021,0.017,0.004,6558,9835,1.4997,0.4724,13.4842,0
AK_n78122_C10m(Pool),AK,2.141,4.412,2.538,0.926,78122,117181,1.5,0.021798,46.5802,0
AK_n823542_C6000000(Pool),AK,405.358,945.103,440.647,233.522,823542,1235311,1.5,0.000119,151.2476,0
AK_n83518_C500000(Pool),AK,2.422,4.491,3.5,1.239,83518,125275,1.5,0.000961,48.1622,1.00E-06
AK_n46654_C1000000(ol_2),AK,0.799,1.43,0.875,0.274,46654,69979,1.5,0.006213,35.9945,0
AK_n9998_C250000(ol_2),AK,0.034,0.047,0.039,0.01,9998,14995,1.4998,0.032655,16.6547,2.00E-06
AK_n9998_C850000(ol_2),AK,0.034,0.048,0.039,0.01,9998,14995,1.4998,0.10083,16.6547,1.00E-06
Genrmf_Long_1048576_1(g_1k),RMF,6.878,1.096,1.347,1.965,1048576,5110784,4.874,0.000205,0.14076,7.00E-06
Genrmf_Long_16777216_1(g_1k),RMF,421.369,28.168,49.462,71.179,16777216,82833408,4.9373,5.10E-05,0.099776,0
Genrmf_Long_4096_1(g_1k),RMF,0.002,0.002,0.002,0.001,4096,18368,4.4844,0.003425,0.27589,0.001713
Genrmf_Long_65536_1(g_1k),RMF,0.081,0.052,0.056,0.051,65536,311040,4.7461,0.000829,0.19796,0.000115
Genrmf_Moderate_a100_b100_c1000000(rate),RMF,3.764,3.315,3.807,3.286,1000000,4950000,4.95,0.000149,0.084848,8.00E-06
Genrmf_Moderate_a100_b130_c1000000(rate),RMF,5.403,4.489,4.965,5.703,1300000,6438000,4.9523,0.000149,0.083732,6.00E-06
Genrmf_Moderate_a100_b130_c10000(rate),RMF,15.069,5.569,6.623,8.647,1300000,6438000,4.9523,2.10E-05,0.083732,6.00E-06
Genrmf_Moderate_a100_b170_c1000000(rate),RMF,6.451,4.981,5.517,8.575,1700000,8422000,4.9541,0.000149,0.08284,5.00E-06
Genrmf_Moderate_a100_b170_c10000(rate),RMF,19.019,5.954,7.86,10.235,1700000,8422000,4.9541,2.10E-05,0.08284,5.00E-06
Genrmf_Moderate_a100_b50_c1000000(rate),RMF,2.234,1.968,2.326,1.24,500000,2470000,4.94,0.00015,0.089436,1.60E-05
Genrmf_Moderate_a100_b50_c10000(rate),RMF,4.407,2.34,2.432,1.759,500000,2470000,4.94,2.10E-05,0.089436,1.60E-05
Genrmf_Moderate_a100_b50_c100(rate),RMF,4.533,2.082,2.481,2.496,500000,2470000,4.94,2.10E-05,0.089436,1.60E-05
Genrmf_Moderate_a100_b60_c10000(rate),RMF,4.939,2.208,2.434,2.343,600000,2966000,4.9433,2.10E-05,0.08795,1.30E-05
